Sample #	FP2_COP_X	FP2_COP:Y	FP2_COP:Z	FP2_Ref_X	FP2_Ref_Y	FP2_Ref_Z	FP2_Force_X	FP2_Force_Y	FP2_Force_Z	FP2_Moment_X	FP2_Moment_Y	FP2_Moment_Z	FP4_COP_X	FP4_COP:Y	FP4_COP:Z	FP4_Ref_X	FP4_Ref_Y	FP4_Ref_Z	FP4_Force_X	FP4_Force_Y	FP4_Force_Z	FP4_Moment_X	FP4_Moment_Y	FP4_Moment_Z
72	136.916129	-323.991310	-0.167860	202.900345	-304.364990	-0.079583	-14.420407	6.492298	316.928725	-6220.756318	20913.960531	87.065145	-120.026134	-293.433115	-0.087068	-199.669022	-305.422272	-0.130892	12.790411	-2.291182	299.682437	3593.761562	-23867.407957	-1539.339076
73	137.911538	-324.410468	-0.166177	202.900345	-304.364990	-0.079583	-14.510315	6.139389	319.053493	-6396.256028	20736.564126	124.093495	-120.470361	-294.104844	-0.087115	-199.669022	-305.422272	-0.130892	12.966862	-2.555396	301.811017	3416.527747	-23902.838161	-1502.261851
74	136.693260	-324.066644	-0.168154	202.900345	-304.364990	-0.079583	-14.862081	5.960305	317.990711	-6265.536650	21054.927300	68.328577	-119.102069	-293.942347	-0.086348	-199.669022	-305.422272	-0.130892	12.968535	-2.202989	297.554096	3416.723936	-23972.846202	-1539.410699
75	138.188055	-323.297340	-0.166314	202.900345	-304.364990	-0.079583	-14.335968	5.964762	321.532692	-6088.039970	20808.755251	143.116264	-119.565477	-293.648386	-0.086722	-199.669022	-305.422272	-0.130892	12.612061	-2.202592	301.455952	3550.133419	-24147.530875	-1539.273534
76	137.210886	-323.690392	-0.167571	202.900345	-304.364990	-0.079583	-14.416867	5.697094	317.283248	-6132.250951	20843.808021	105.831790	-119.389200	-293.983260	-0.086506	-199.669022	-305.422272	-0.130892	12.613323	-2.026621	298.618035	3416.690508	-23972.827950	-1483.653144
77	137.797369	-323.720190	-0.166686	202.900345	-304.364990	-0.079583	-14.682922	5.254730	319.053672	-6175.976425	20772.983993	105.801725	-120.538897	-294.213046	-0.087120	-199.669022	-305.422272	-0.130892	12.347325	-2.380384	300.746379	3371.976462	-23797.961016	-1558.080473
78	137.868837	-323.560718	-0.166658	202.900345	-304.364990	-0.079583	-14.599854	6.227485	319.407444	-6131.890136	20773.209341	105.867044	-120.587067	-293.811396	-0.087281	-199.669022	-305.422272	-0.130892	12.966203	-2.290046	301.810930	3505.102028	-23867.622136	-1520.805973
79	137.795702	-324.207927	-0.166448	202.900345	-304.364990	-0.079583	-14.067729	5.877048	320.116658	-6352.544852	20842.635540	12.501495	-119.974147	-294.430027	-0.086711	-199.669022	-305.422272	-0.130892	13.144525	-2.025301	298.618353	3283.326362	-23798.181283	-1558.133549
80	136.359229	-323.994156	-0.168685	202.900345	-304.364990	-0.079583	-14.415890	5.608544	316.929167	-6221.768854	21090.508467	161.379962	-119.697870	-293.418325	-0.086876	-199.669022	-305.422272	-0.130892	12.700991	-1.849269	299.327502	3593.946628	-23937.417726	-1557.901745
81	137.064001	-324.436703	-0.167422	202.900345	-304.364990	-0.079583	-14.949435	5.518324	318.699021	-6397.684620	20983.734896	235.574508	-120.257896	-294.173241	-0.086965	-199.669022	-305.422272	-0.130892	12.257672	-1.673353	299.681915	3371.943034	-23797.942764	-1502.322918
82	137.511326	-324.639203	-0.166658	202.900345	-304.364990	-0.079583	-14.417393	5.697268	317.637374	-6440.356615	20771.586165	12.406112	-119.794798	-294.825277	-0.086474	-199.669022	-305.422272	-0.130892	13.054948	-2.289942	301.456247	3195.295644	-24078.365885	-1427.994603
83	137.281310	-324.094293	-0.167268	202.900345	-304.364990	-0.079583	-14.862450	5.519299	319.761529	-6309.344942	20984.130715	124.100735	-119.185903	-293.888175	-0.086416	-199.669022	-305.422272	-0.130892	12.612912	-2.203056	300.037007	3461.416463	-24147.714638	-1427.812354
84	136.952121	-323.948119	-0.167828	202.900345	-304.364990	-0.079583	-14.063147	5.699079	317.637898	-6220.771095	20949.205962	-24.556913	-119.886601	-293.594442	-0.086932	-199.669022	-305.422272	-0.130892	13.143454	-1.936387	300.037238	3549.589370	-23937.509605	-1502.170727
85	137.500702	-323.189544	-0.167387	202.900345	-304.364990	-0.079583	-14.685558	5.873183	318.699238	-6000.213909	20844.557240	254.833643	-120.260684	-294.238274	-0.086945	-199.669022	-305.422272	-0.130892	13.053850	-1.847692	301.456101	3372.268594	-23937.937966	-1465.105378
