Sample #	FP2_COP_X	FP2_COP:Y	FP2_COP:Z	FP2_Ref_X	FP2_Ref_Y	FP2_Ref_Z	FP2_Force_X	FP2_Force_Y	FP2_Force_Z	FP2_Moment_X	FP2_Moment_Y	FP2_Moment_Z	FP4_COP_X	FP4_COP:Y	FP4_COP:Z	FP4_Ref_X	FP4_Ref_Y	FP4_Ref_Z	FP4_Force_X	FP4_Force_Y	FP4_Force_Z	FP4_Moment_X	FP4_Moment_Y	FP4_Moment_Z
359	148.218147	-294.381062	-0.165648	202.900341	-304.364990	-0.079583	-16.479605	7.782857	267.702075	2670.611330	14640.876350	1610.009652	-125.499279	-267.009961	-0.098999	-199.669022	-305.422272	-0.130892	16.484561	-2.092038	339.414606	13039.059552	-25174.474300	-2945.763331
360	148.302113	-294.257178	-0.165585	202.900341	-304.364990	-0.079583	-16.833168	7.339692	268.764148	2714.434154	14676.427502	1665.859887	-125.887626	-266.729184	-0.099324	-199.669022	-305.422272	-0.130892	16.310083	-2.535540	336.931523	13038.210047	-24859.423166	-2834.352542
361	147.952748	-294.053077	-0.166203	202.900341	-304.364990	-0.079583	-16.832946	7.604295	267.701639	2758.284545	14711.977318	1703.109066	-126.630611	-266.781764	-0.099752	-199.669022	-305.422272	-0.130892	16.307304	-2.357363	340.833502	13171.326895	-24894.125030	-2927.190107
362	148.915368	-293.344339	-0.165123	202.900341	-304.364990	-0.079583	-16.127304	7.344184	270.535795	2979.421689	14607.138451	1591.883707	-125.990469	-266.759943	-0.099376	-199.669022	-305.422272	-0.130892	16.220040	-2.269946	338.350297	13082.716256	-24929.322811	-2852.888675
363	148.302951	-294.421193	-0.165503	202.900341	-304.364990	-0.079583	-16.479375	7.429878	268.764629	2670.375715	14676.193008	1647.193883	-126.809466	-266.692289	-0.099889	-199.669022	-305.422272	-0.130892	16.573132	-2.533487	341.188456	13215.527649	-24858.994811	-2871.417771
364	149.130661	-294.198966	-0.164384	202.900341	-304.364990	-0.079583	-16.306004	7.343801	271.597909	2759.019072	14606.002572	1572.956429	-126.321247	-267.301208	-0.099397	-199.669022	-305.422272	-0.130892	16.218551	-2.269133	340.833420	12994.288537	-24999.563277	-2927.261732
365	148.689632	-295.214479	-0.164539	202.900341	-304.364990	-0.079583	-16.300748	7.342059	268.056684	2450.665939	14533.861099	1646.937800	-126.531196	-266.751333	-0.099703	-199.669022	-305.422272	-0.130892	16.307715	-2.180928	339.414529	13126.827922	-24824.231478	-2927.239665
366	149.032279	-294.758525	-0.164254	202.900341	-304.364990	-0.079583	-16.478093	7.076550	269.118931	2583.077885	14499.240115	1665.752073	-125.808386	-267.039838	-0.099175	-199.669022	-305.422272	-0.130892	16.218990	-2.446033	340.833478	13083.336125	-25174.339840	-2871.393795
367	148.417875	-293.571335	-0.165750	202.900341	-304.364990	-0.079583	-16.212187	7.342512	268.056815	2891.166293	14606.715198	1647.555733	-125.861949	-266.407315	-0.099414	-199.669022	-305.422272	-0.130892	15.954445	-2.358940	338.704903	13215.931189	-24999.024789	-2964.300422
368	148.512877	-293.480123	-0.165654	202.900341	-304.364990	-0.079583	-16.746184	7.340667	269.826625	2935.029525	14677.499346	1554.581639	-125.551443	-266.243179	-0.099282	-199.669022	-305.422272	-0.130892	15.954857	-2.182504	337.285931	13215.964618	-24999.043042	-3020.058465
